URL,Unique Visitors,Section,Product
/blog/cpa/reg-cpa-exam-lecture-substantiation-and-disclosure-of-tax,6,Blog,CPA
/blog/cpa/cpa-exam-deep-dive-cost-concepts/,5,Blog,CPA
/blog/cpa/cpa-exam-lecture-intro-to-governmental-organizations/,5,Blog,CPA
/blog/cfa/failed-the-cfa-exam/,5,Blog,CFA
/blog/cma/free-cma-exam-video-lecture-part-2-liquidity-and-solvency,5,Blog,CMA
/cima/resources/exam-testing-centers/,5,Resources,CIMA
/cma/resources/free-wiley-cmaexcel-exam-review-participant-guide-pa,5,Resources,CMA
/blog/cpa/my-cpa-exam-study-routine/,5,Blog,CPA
/blog/cfa/free-video-lecture-ifrs-vs-gaap/,5,Blog,CFA
/blog/cpa/free-cpa-lecture-fair-value-hedges/,5,Blog,CPA
/blog/cma/who-gets-cma-and-why/,5,Blog,CMA
/blog/cfa/heres-how-to-prepare-for-the-cfa-exam-in-just-1-weekend/,5,Blog,CFA
/blog/cpa/meet-the-professor-dr-charles-davis/,5,Blog,CPA
/blog/cpa/changing-requirements-for-cpas2015/,5,Blog,CPA
/blog/cpa/video-belicia-tells-her-cpa-story/,5,Blog,CPA
/pmp/resources/pop-quiz-answers/,5,Resources,PMP
/blog/cma/2015-cma-salary-figures/,5,Blog,CMA
/blog/cpa/tricks-to-increase-your-cpa-exam-score/,5,Blog,CPA
/pmp/resources/how-to-get-pmp-certification/,5,Resources,PMP
/cfa/resources/finance-exam-tips-for-accounting-students/?utm_sourc,5,Resources,CFA
/caia/resources/exam-score-release/,5,Resources,CAIA
/blog/cpa/july-2016-content-updates-with-interactive-drss-are-here/,5,Blog,CPA
/blog/frm/its-time-to-take-your-frm-exam/,5,Blog,FRM
/blog/cfa/ultimate-cfa-review-course-is-here/,5,Blog,CFA
/blog/frm/frm-part-2-has-launched/,5,Blog,FRM
/blog/cma/become-a-star-and-win-big-in-imas-2018-video-contest/,5,Blog,CMA
/cfa/resources/tough-cfa-exam-questions/?utm_source=els&utm_medium=,4,Resources,CFA
/cpa/resources/#group-2,4,Resources,CPA
/blog/cia/cia-vs-cpa-which-is-right/,4,Blog,CPA
/cpa/resources/pop-quiz/aud-questions/?utm_source=els&utm_medium=el,4,Resources,CPA
/cfa/resources/cfa-exam-results-webinar/,4,Resources,CFA
/cpa/resources/product-tour/?utm_source=els&utm_medium=elqemail&utm,4,Resources,CPA
/blog/cfa/the-cfa-exam-results-are-out/,4,Blog,CFA
/cpa/resources/cpa-exam-links/,4,Resources,CPA
/cfa/resources/2016-cfa-exam-curriculum-changes/,4,Resources,CFA
/blog/cpa/own-his-own-firm-someday/,4,Blog,CPA
/blog/cpa/important-news-from-aicpa-and-nasba-cpa-exam-testing-wind,4,Blog,CPA
